id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22772,Getaway at Lovers Pt. Pacific Grv,87827,Amie,,Pacific Grove,36.622579561738,-121.91679824404707,Entire home/apt,299,29,68,2016-08-01,0.70,1,83
41014,Ocean front 6-bedroom masterpiece,174738,Kirstie,,Pacific Grove,36.63241765619369,-121.93791560074801,Entire home/apt,1100,2,79,2018-04-16,0.94,1,157
44515,Pet-Friendly* Cottage Near Beach (PG Lic#0090),195732,Erika & Blake,,Pacific Grove,36.6258296464783,-121.9341536639528,Entire home/apt,150,2,683,2018-04-15,7.31,1,124
89210,"CA Dreaming w/Ocean View, King bed, 2 AQ. tix",130577,Sarah,,Pacific Grove,36.60438275256319,-121.92720687653838,Entire home/apt,135,1,800,2018-04-17,9.36,1,226
857942,"Lovely Studio, walk to Lovers Point  Lic#0367",4488236,Virginia,,Pacific Grove,36.624812754289145,-121.92012535540053,Entire home/apt,167,2,95,2018-03-25,1.52,1,326
1031734,"Top Rated,Ocean View,Spa,Fireplace",227482,Dan,,Pacific Grove,36.60324327855821,-121.92723105499323,Entire home/apt,500,1,149,2018-04-15,2.48,1,245
1721177,Ocean View Townhome at Lover's Pt.,9073236,Barb,,Pacific Grove,36.62366594164817,-121.91558908269506,Entire home/apt,425,1,190,2018-04-07,3.44,2,307
1721186,Beautiful Villa With Ocean View,9073236,Barb,,Pacific Grove,36.62455488129884,-121.91660092361909,Entire home/apt,389,1,101,2018-04-15,1.87,2,343
1856739,"Vacation condo in Pacific Grove/Monterey, CA",2555967,Pam,,Pacific Grove,36.622591429489034,-121.9183997796324,Entire home/apt,180,1,0,,,1,0
1909416,Historic John Steinbeck's Cottage,5517174,Kevin & Vicky,,Pacific Grove,36.61458272125907,-121.91033339550467,Entire home/apt,230,2,175,2018-04-16,3.28,1,239
1918627,"Pacific Grove Blue House, Walk to Town and Beach!",9946932,Maria,,Pacific Grove,36.61594064439376,-121.92017696864887,Entire home/apt,225,2,357,2018-04-06,6.62,1,89
2079346,Fab Ocean Views-Great Location-Quality everything,10624036,Merry,,Pacific Grove,36.61939533364329,-121.91121408653692,Entire home/apt,235,2,3,2018-04-19,0.92,4,78
2118041,Good Location with 2Free Aquarium Passes,10752409,Faye,,Pacific Grove,36.60452296825747,-121.93114397909801,Private room,89,1,151,2018-04-01,2.97,1,330
3029273,"Modern Beach House, Aquarium passes",15429359,Jim,,Pacific Grove,36.63256030478962,-121.92524862155184,Entire home/apt,215,1,174,2018-04-20,3.91,1,225
3249857,Private bedroom in beautiful house,4368207,Cindy,,Pacific Grove,36.61590663395104,-121.90963235283769,Private room,100,1,0,,,1,0
3457025,Pacific Grove Spacious Victorian with views!,17421867,Karen,,Pacific Grove,36.61946917455412,-121.91653508674831,Entire home/apt,300,2,7,2018-04-14,2.96,1,61
3821616,"Bright Beach Cottage, Downtown, Modern, Biz-Ready",16838120,Alka,,Pacific Grove,36.622372062841855,-121.9190696417916,Entire home/apt,225,2,319,2018-04-15,7.21,2,298
3836973,Lovely House in Pacific Grove (License # 0194),19763195,Paul,,Pacific Grove,36.60526958388532,-121.92805306612425,Entire home/apt,250,1,310,2018-04-18,6.92,1,306
4099680,The Monarch Home - Cozy & Relaxing,5508442,Anne,,Pacific Grove,36.62260192064945,-121.93080985044003,Entire home/apt,240,2,282,2018-04-19,6.75,1,248
4162387,The Little Blue House,14299946,Joy,,Pacific Grove,36.62156438645134,-121.92043402631136,Entire home/apt,180,1,333,2018-04-19,7.97,2,284
4291804,"Walk to Aquarium,Cannery Row,Rest",12118997,Guita,,Pacific Grove,36.61564598232478,-121.90903413438173,Entire home/apt,180,30,50,2017-12-24,1.31,1,297
4436534,Quiet Ocean view Cottage Lic.#0201,22933425,Jeanne,,Pacific Grove,36.63232585622275,-121.92567230967292,Entire home/apt,450,5,7,2017-04-25,0.17,2,116
4697656,Peaceful in Pacific Grove. Close to beach & town,24285186,Stacey,,Pacific Grove,36.615073125075824,-121.92261178850283,Private room,105,2,49,2017-12-03,2.23,1,0
5185545,Peaceful Cozy Beach Cottage (Lic#: 0213),21424068,Sarah,,Pacific Grove,36.63192584869902,-121.92454413817075,Entire home/apt,170,2,224,2018-04-16,5.88,1,48
5238711,"Penthouses Walk to Beach, 4 Aquarium Passes",14806795,Kristina,,Pacific Grove,36.61944970895826,-121.91408669715406,Entire home/apt,595,6,14,2018-04-09,0.42,2,312
5262713,PG Beach Haven,27188308,John,,Pacific Grove,36.62105613835557,-121.92223215215591,Entire home/apt,179,1,261,2018-04-07,6.86,1,284
5500336,Little Lighthouse — Ocean views & close to town!,18067665,"Jim,Stacey,Gary,Lynea,Amy,&Michael",,Pacific Grove,36.61859146776587,-121.91086419778692,Entire home/apt,225,2,125,2018-04-15,3.30,2,319
5640289,Three Seas Cottage  Aquarium Tickets! (Lic#0236),25393831,Kevin And Julia,,Pacific Grove,36.607738791093446,-121.9237017799327,Entire home/apt,245,2,134,2018-04-19,3.84,1,131
5807126,Lighthouse Cottage—Ocean Views & Close to town,18067665,"Jim,Stacey,Gary,Lynea,Amy,&Michael",,Pacific Grove,36.619554761994955,-121.90998588006569,Entire home/apt,325,2,143,2018-04-15,4.00,2,239
5860442,Pacific Grove + 2 Aquarium Passes*,22064531,David And Kelly,,Pacific Grove,36.61584359557675,-121.91630503221027,Private room,149,1,420,2018-04-07,11.59,1,237
6018499,Charming ocean view cottage in PG,1769997,Marianne,,Pacific Grove,36.61732639945905,-121.9127250415959,Entire home/apt,305,2,58,2017-11-05,1.58,1,106
6410088,Walk to Asilomar,4622744,Ahnalisa,,Pacific Grove,36.625050186987785,-121.9266151619602,Entire home/apt,620,2,43,2018-02-18,1.25,1,109
