listing_id,id,date,reviewer_id,reviewer_name,comments
22772,40430,2010-05-06,21423,Virginia,"Amie was extremely gracious and helpful, making the arrangements easy and the house comfortable. The house is gorgeous, with lots of spaces to get cozy and lounge in, including a sweet garden. The location is fabulous -- beautiful neighborhood w/great walks along the cliffs and a short drive to restaurants, etc. Wonderful place!"
22772,1121953,2012-04-13,2076189,Anastasia,"I only like good surprises and Amie's cottage was a pleasantly, exquisite surprise with charm with effortless style and comfort.  The photos do not accurately reflect the magical experience that happens when you step into the cottage.
Most importantly, Amie was very attentive from inception of the reservation without being intrusive.

I suggest that future guests be as considerate of Amie as she is to you.
Cheers!
Anastasia"
22772,1210438,2012-05-01,1191971,Robert,"Perfect experience!  The rental process was easy.  Amie was responsive and accurate with descriptions.  She even stocked the fridge with some items we were going to buy on our own, making life really easy for us.  The house is ... perfect.  The exterior is really cute, and the interior is, too.  It is exactly as pictured.  My girlfriend and I couldn't have been any happier there.  It was really easy to feel at home there.  That said, the location is so great - we also wanted to get out!  Pacific Grove is really cool - and there a few great restaurants that are fancy, and a few that are super but not fancy at all.  I've stayed in Monterey for work...but Pacific Grove is better.  And the location of Amie's house is ideal - a few blocks to restaurants, and only a block to the beach.  Lastly, we didn't have to contact Amie for anything during the stay...which is exactly how I like it because it means we had all we needed.  I would definitely stay at Amie's again!"
22772,1375254,2012-05-29,558418,Daniel,"Had a memorable stay at this cottage in Pacific Grove. Amie was a pleasure to deal with - prompt communications and very accommodating. The house is very well appointed and furnished, with a nice garden patio in the back. Amie was nice enough to stock some staple foods and snacks for our stay. The cottage is only a couple blocks away from the ocean, so it's perfectly situated."
22772,1882747,2012-08-04,2567986,Robert,"We had a wonderful stay at Storybook Cottage. The cottage looks just like the photo's, no trick photography, a great place for a couple. Amie was most cordial and responsive to all communications.We needed to change our reservation dates and Amie made the process simple and painless. The cottage was within walking distance anything we wanted to do or see. A great location. We will definitely return !"
22772,1975942,2012-08-13,3159927,Ali,"Adorable little cottage in an excellent location.  Easy walk to beach and restaurants. The area is great for biking, walking, or just hanging out at the beach.  Owner was very responsive and welcoming, including leaving us fresh flowers and food for our stay. The cottage was too cute for its own good. Street parking was easy. 20 minute stroll to the Aquarium and Cannery Row."
22772,2027232,2012-08-19,2393320,Angel,"Very sweet cottage. Walking distance to shops, food and water."
22772,2051594,2012-08-21,2071962,Jaclyn,"The cottage was adorable and perfectly located. The back garden was an amazing setting for a glass of wine and snacks. The kitchen was stocked with treats and Amy was even kind enough to leave us a bottle of wine to enjoy.
Both my boyfriend and I said that we'd absolutely return the next time we are in the area. 
Loved loved loved it! :-)"
22772,2107257,2012-08-27,678260,Marty,"LOVE LOVE LOVE Amie's  storybook cottage!
Charm Charm Charm!
All the special touches were so appreciated!
Would love to return!
Thanks Amie!"
22772,2140069,2012-08-29,202420,Rachel,The reservation was canceled 2 days before arrival. This is an automated posting.
22772,2322831,2012-09-17,2270661,Alicia,My boyfriend and I stayed here for a long weekend and the place was great. It was easy to find and was the perfect amount of space for the two of us. Amie was a gracious host and left us a welcome note and basket with goodies!!! Would definitely recommend this place to others.
22772,3977969,2013-04-01,5137529,Clint,"Amazing charm!  Steps away from wonderful restaurants and the beach/tide pools, but the coziness of the cottage ultimately wins out on the tug for your presence."
22772,4076050,2013-04-08,5134315,Melissa,Very cute house walking distance to Lovers Point and downtown PG.  Perfect for a couple.
22772,4364557,2013-04-30,1471446,Wilhemina,"Staying at Amie's house by the sea was a lovely experience. The house is in a perfect location. Steps to Lover's Point and steps to all the restaurants, cafes, and shops on Lighthouse ave, yet, far enough from both to avoid the bustle. The house is cozy and elegantly decorated, everything you could need is provided. The bed and sofa are both ridiculously comfortable. Amie also thoughtfully provided a bottle of wine, fresh cut flowers, gourmet treats, and fruit, along with a handwritten note. The house is also within reasonable walking distance to the aquarium and shops at Cannery Row via a manicured path facing Monterey Bay that you can walk on or rent bikes. Amie was a lovely host, easy to communicate with, flexible and timely. I enjoyed the privacy and ideal location of the Getaway and hope to return soon. "
22772,4588950,2013-05-13,4898554,Melody,Amie's house is soooooo adorable and awesome! This house has everything you need and feels like home! Amie is also very quick to follow up. Amazing place! 
22772,4835493,2013-05-28,2639070,Tianna,"Everything was amazing! Amie was fantastic and so welcoming, even left us a hand-written note which made the check in even more spacial. 

The cottage was perfect for us. Great location, perfect for having our dog with us and just having a relaxing weekend. We enjoyed the outdoor space and BBQ. Overall, one of the best AirBnb experiences I've had. 

We will definitely rent this place again in the future :)"
22772,5169009,2013-06-16,6010688,Brendan,"best neighborhood, close to everything. House is a cute bungalow, very clean and cosy. Delicious breakfast left, a good stay. "
22772,5461232,2013-07-01,1725550,Anna,"Amie was a fantastic host! We had a wonderful time exploring the beaches and local restaurants, and all of Amie's personal touches - the wine, the chocolate, the toys for our two dogs - made the entire trip so special. We definitely recommend Amie's getaway if you're planning a trip in the area."
22772,5606630,2013-07-08,6616052,Briony,"Amie's cottage at Pacific Grove was very comfortable, it really felt like having our own home in a prime location!  
Amie was very easy to contact, and went out of her way to leave some lovely touches around for our arrival... flowers, breakfast and even a bottle of wine!  The cottage is very well furnished, and we appreciated having the deck area at the back to relax after touring around.
The location was perfect, a couple of blocks from Pacific Grove stores, (highly recommended) restaurants and beach... and walking / riding distance to Monterey and Carmel.  We really enjoyed being able to access all the attractions of the area while being able to come back to our peaceful 'retreat'.
Thank you Amie for a great long weekend!"
22772,5904375,2013-07-22,2569258,Sarah,"Amie's place is decorated in a glam vintage type of feel. It's lovely and I felt very at home there. I used the cottage for my wedding weekend and everything was swell. Amie was even able to arrange to have the place cleaned up while we were gone, so everything was spick and span when my husband and I returned after the wedding. I have to say the place was set up for great pictures, the photographer was able to capture some beautiful pictures there :) Amie even left some champagne, chocolate and a lovely note to tell me congrats!

The only thing that wasn't perfect was that there was still powdered bleach in the shower when I arrived, so my sister and I had to clean the shower ourselves. No big deal, though. Overall, it was a great experience and I would stay there again."
22772,6272860,2013-08-06,6342069,Roy,"We have used many apartments and have high expectations. Positive comments are : excellent location to explore Monterey Bay area; free street car parking; friendly and helpful neighbours; quaint cottage for couples; clean; well maintained; comfortable with all facilities and quality equipment; quiet with sunny rear courtyard; close to good supermarkets, restaurants, shops and beach. Negative comments are TV only operates DVD and does not receive TV channels; no computer BUT computer available free in library from Tuesday  to Saturday; ironing board stored outside which needs cleaning before use; no plug in wash basin"
22772,6457142,2013-08-13,29779,Helen,"Amie's gorgeous little yellow house is just perfect for two people with all the amenities in this compact house and courtyard. Great location being a short stroll to the market and restaurants. I even had a hair trim in Cambria too. The Aquarium is about a 20-25 walk from Amie's place so no hassle looking for parking. We also loved the squirrels who seem to regularly be around the back courtyard.

Amie goes to extra effort with her property by supplying fresh flowers, some goodies in the frig, beautiful linen and candles. Her kitchen was well stocked with crockery and utensils. 

We felt quite privileged to have stayed there, and would highly recommend it for two people. Thanks very much Amy,"
22772,6612099,2013-08-19,2389586,Emily,"My husband and I had a wonderful time staying in Pacific Grove at Amie's perfect little yellow cottage. This is a wonderful place for a couple to spend a few days enjoying the Carmel peninsula. In addition to the clean, wonderfully-appointed environment, Amie left wine and chocolate and a few breakfast goodies for us. There is no parking, but it was very easy to park on the street even during Concours d'Elegance, which was the same weekend we were there and one of the busiest times for the area. We were easily able to access Point Lobos, Big Sur, Carmel, Pebble Beach, and Monterey either on foot, bike or by car. I would love to have the opportunity to stay here again--it could not have been better. Thanks Amie!"
22772,7929714,2013-10-08,16061597,Brian,"Amie's place is lovely!  My wife and I just spent a glorious weekend in her wonderful cottage, which is a very short walk to the beach, parks, and a 10-15 minute walk to downtown Monterey.  It's also right at the start of 17 mile drive, which is perfect.  Amie is a great host as well - her place is clean and well appointed, she has a great personal touch with flowers, a bottle of wine, some snacks, a welcome note, and guidebooks for the surrounding area.  Highly recommended!"
22772,8059454,2013-10-14,1247681,Ethan,Amie's place is beautiful. There was a bottle of wine and chocolate waiting for us!
22772,8789581,2013-11-18,3770083,John,"Amie's place in Pacific Grove is awesome! Cozy, comfortable, centrally located, within walking distance to everything we wanted to do. A great stay in a great place! In fact, the Big Sur half marathon was on Sunday and the runners came right down 17th street in front of the house. It was really cool! Thanks Amie!"
22772,9004700,2013-12-01,4001429,William,"Great location!!! Just a few blocks from the beach, coastal trail/Monterey trail, and main street Pacific Grove restaurants and services.

As for the place, this is a quaint cottage. Bed was great! Incredibly comfortable. Small dogs are allowed and this is worth the price right there.

Amie had lots of edibles waiting (and they were appreciated upon arrival): bottle of wine, cheese, chocolate, pumpkin cake, crackers. 

Not sure if this is place is meant for heavy duty cooking: kitchen is small (no dishwasher), small freezer in fridge, no garbage disposal.

Outdoor patio is cute. The houses in the neighborhood are very close together. Heat is interesting as every room seemed to have a different temperature so keep in mind during colder month stays.

Overall, nice for a couple who is going to eat out, tour the coast, and have their little dog with them.

Thanks, Amie!"
22772,10395487,2014-02-17,8730675,Ravi,"My wife and I stayed at Amie's house for two nights. Amie was a great host and her home is at perfect location in Pacific Grove. We did not have to drive at all during our trip. There were plenty of great restaurants, antique stores and coffee shops. Beach and Cannery Row is only few mins walk as well. Overall we really enjoyed our valentines weekend at Amie's wonderful house. Great experience!  "
22772,11211531,2014-03-24,12614664,Sue,The reservation was canceled 18 days before arrival. This is an automated posting.
22772,13643191,2014-06-01,5671538,Kristen,The reservation was canceled 5 days before arrival. This is an automated posting.
22772,14307077,2014-06-16,11676432,Catherine & Chris,"Wow - - this is a magical cottage down an lovely ocean view street a few blocks from Lovers' Point. Photos do not do it justice! Amie was a great host who was thoughtful enough to leave us pretty fresh flowers, fruit, vino and all the amenities we needed to celebrate my boyfriend's 30th birthday! It was just divine - - romantic, comfortable, homey, a great vibe. We especially loved the back sunroom/reading nook. 

I hope we have a chance to stay here again - - I would not want to stay anywhere else if I come back to the area!

Thanks so much Amie!  "
22772,16117579,2014-07-22,17074064,Mark,Stayed at Amie's place for our 5th year wedding anniversary. It's a cozy spot in a great location. Everything went smoothly and the place was as described. Thanks for the great experience.
22772,16994104,2014-08-05,15964901,Jeffrey,"The house was an adorable getaway very close to the water, and easy access to some of the little shops in Pacific Grove, also within a quick 5-min drive of Monterrey where it was fun to walk around. Amie was very gracious and left flowers and a bottle of wine with yummy chocolates for us. I wish the weather had been a little warmer but no one can control that; overall a fantastic and enjoyable experience in a cozy home by the beach."
22772,18894918,2014-09-02,19064512,Meredith,"Amie's place was great! It's Ina very convenient location; walking distance to beach, restaurants, town square and even cannery row! The cottage is idyllic for two people looking for a low key weekend away. My boyfriend and I loved the nearby, seaside running path. We had an awesome weekend that included kayaking, picnics at lovers point, massages and lots of seafood! Amie was a gracious host and gifted us a bottle of wine and some snacks. I had emailed her beforehand and she gave me some recommendations and suggestions about restaurants and things to do in the area. You certainly won't regret staying at Amie's adorable cottage!  "
22772,19252723,2014-09-08,2393263,Ashwin,We enjoyed staying at Amie's place – very nice neighborhood and ideal location steps from the water and great views. Amit was easy to communicate with and was nice enough to provide us with recommendations during our stay. Highly recommended host and listing!
22772,19618377,2014-09-15,11773450,Robyn,"The Getaway at Lover's point was wonderful. Amie had a bottle of wine, coffee and snacks waiting my arrival. The cottage was beautifully decorated with all the amenities for a comfortable beach getaway. The location was great for thoroughly enjoying everything Pacific Grove has to offer. Close to the ocean, shopping & great restaurants. Amie even had guidebooks to the area placed with the wine.  The backyard was a welcome space to sit & enjoy the cool weather & ambiance of the cottage. If you have always wanted to stay in a period Pacific Grove cottage this is the location for you. It is in a safe, friendly neighborhood. Amie's secret cottage makes you feel very special."
22772,21356730,2014-10-15,9038200,Jeremy,"Spent 3 nights here. Great place, really cute, great location. Really relaxing here. Highly recommend it. 

The place is a little love shack. And the owner treats it that way, leaving us a bottle of wine and chocolate, really thoughtful, as we stayed here for a few days before our wedding in Sonoma. "
22772,23174969,2014-11-24,4275652,Susan,"This charming near-the-ocean historic small home is now #1 on my list of places to stay in the Monterey area.   It is perfect for a couple wanting a romantic getaway within easy walking distance of everything in Pacific Grove.   

Amie made us feel welcome with a bottle of wine, a bar of organic chocolate and even a cranberry-fig tart -- as well as visitor information.

Soft wonderful bed, comfortable living room furniture, great coffee maker (and coffee beans), and so much more.

The sitting area in her small backyard is also lovely.  I can't wait to return -- again and again and again. "
22772,23343310,2014-11-29,442815,Rhea,It was a very easy check in..the place was cozy and convenient to everything. Loved the fireplace. Never had a chance to meet the host but everything was pleasant. A true gem of a place.
22772,24011271,2014-12-16,8471845,Andrew,Amie was very accommodating. She left us a bottle of wine and snacks. The house was very clean and in a great location super close to lovers point. 
22772,25618769,2015-01-20,11263661,Molly,"Amie was super responsive and welcoming! She left us a bottle of wine and some snacks and some guides to Pacific Grove for us to read right when we arrived. She was very helpful and gave us some recommendations for some GREAT places to eat. The house was super cute and looked exactly like the pictures! Although we didn't get to meet her, would definitely stay with Amie again. "
22772,28093365,2015-03-17,27963330,Susan,"Thanks for the coffee, chocolates and wine!"
22772,28434398,2015-03-23,11803788,Julia,Great weekend place! 
22772,28805157,2015-03-30,25118195,Katie,"The pictures can't show how wonderful this home is. It is the perfect place to stay for a romantic getaway. The back patio was our favorite, with four cozy chairs and just the right amount of sunlight. Amie was also a wonderful host, who left us some snacks and wine as our welcome to Pacific Grove! "
22772,33252498,2015-05-26,1812209,Fiona,"Amie was a great host, and the cottage was the perfect location for a Memorial Weekend getaway, with easy access to downtown Monterey, the Monterey Bay Aquarium, Pacific Grove, Carmel & Big Sur. She was extremely responsive to any questions asked. I would highly recommend Amie's cottage! "
22772,33853572,2015-06-01,32170622,Matt,"We loved staying here. It is a cozy place and perfect for a couple. It is walking distance to the ocean and many restaurants in Pacific Grove. Amie gave us a bottle of wine, snacks, recommendations in the area, and a nice handwritten note welcoming us. I would definitely choose to stay here again."
22772,34464488,2015-06-08,18764928,Nathan,"This spot is great.  Amie was helpful had snacks and was a good host.  We liked the location, lots of good things within easy walking distance.  Place was clean and had everything you need.  "
22772,35144365,2015-06-15,20871652,Denise,We had a wonderful stay at Amie's place in Pacific Grove. The house was cozy and in an ideal location. Everything we needed was there. We enjoyed the sweet backyard. It was perfect for a romantic barbecue. We could not have asked for more. Thank you Amie. We hope to be back soon!
22772,36556762,2015-06-29,34235807,Jake,Amie left us a bottle of wine and some chocolate. The listing was very nice and comfortable. The neighborhood was very friendly and a short walk to the beach and lovers point. I would definitely book her listing again. 
22772,37245438,2015-07-05,18595908,Liza,"Annie was amazing, warm, wonderful and responsive.  Her place is charming, so well decorated and charming.  I loved it.  She left a bottle of wine and fruit for ma and I wanted to stay longer than 3 days. "
22772,39500914,2015-07-24,34401999,Dennis,"A really good location.  Very well maintained for a home build 100 years ago.  Charming and cozy.  Amie made it all very easy really.  We are used to a king size bed, so that was a bit of an adjustment.  We knew going in that there was no cable TV (surprisingly I managed, which amazed my wife!), and the internet connection was great.  An easy walk to the heart of Pacific Grove and even Cannery Row.  Overall a fun experience.  "
22772,39937095,2015-07-27,9131397,Matt,Nice place that looks like the pictures online. Was very nice to leave a bottle of wine and chocolate for us!
22772,43437074,2015-08-19,4106525,Audrey,The host canceled this reservation 23 days before arrival. This is an automated posting.
22772,46193134,2015-09-08,36467478,Anastasia,"Amie is a great host and she was very accommodating to us the last minute. She provides nice personal touches, such as wine and chocolate when you arrive. The house is cozy with charming French decor and only couple blocks away from the lovers beach. We enjoyed our stay very much and highly recommend it for a couple get away. "
22772,47997825,2015-09-22,41717509,Cliff,"Spent 4 nights for our 10th Wedding Anniversary at the Getaway at Lovers Pt.  It was everything and more than we could have hoped for.  The house was very cute and cozy with all that we needed...Made it hard to leave daily to go see all the sights Monterey & Pacific Grove have to offer.  Property was as described and we felt right at home.  The neighborhood was Pacific Grove to the T and we dug in to the local restaurants and shops.  Amie, our host, was very attentive to questions/emails before our stay.  We were pleasantly surprised to arrive to a local bottle of wine, cheese & crackers and chocolates!  That got day 1 off to a great start!  Thank you Amie for helping to make #10 a very memorable one!"
22772,48720565,2015-09-28,41264850,Jeff,"This is the perfect beach cottage, in the perfect location for local restaurants, the coast and area attractions. The host has made it very relaxing and romantic for her guests, LOVE IT!"
